question,correct_answer,llama_distractor1,llama_distractor2,llama_distractor3,original_distractor1,original_distractor2,original_distractor3
"Foodborne illness, food allergies, or a food intolerance cause symptoms in what system?",digestive,respiratory,muscular,nervous,respiratory,circulatory,skeletal
The number of what subatomic particles determines an element’s atomic number and is used to distinguish one element from another?,protons,neutrons,electrons,mass number,neutrons,quarks,electrons
What regulates the time of flowering in many species?,photoperiodism,temperature,genetics,humidity,wind patterns,spirogyra,pollenation
What is the most common cause of down syndrome?,trisomy 21,pochod--masteraven,poor lifestyle choices,environmental factors,trisomy 22,gametes 21,chromosome 21
"What occurs not only as organisms grow, but as they reproduce.",cell division,cell growth,mitosis,dna replication,proteins division,experimental division,flight division
"What useful tool helps scientists work with, understand and make predictions about extremely complex systems?",models,instruments,formulas equations,simulations,guesses,assumptions,speculation
A dilute solution is one that has a relatively small amount of what?,dissolved solute,amount of solvent,amount of solute,dissolved ions,density,saturated fat,pH level
Each bond includes a sharing of electrons between atoms. two electrons are shared in a single bond; four electrons are shared in a double bond; and six electrons are shared in this?,triple bond,single bond,double bond,quadruple bond,ionic bond,quadruple bond,magnetic bond
What is the process of breaking an individual into parts followed by regeneration called?,fragmentation,regeneration,budding,reproduction,minimization,erosion,destruction
The left atrium receives oxygen-rich blood from which organs?,lungs,heart,brain,liver,pancreas,brain,liver
"If the water vapor condenses in liquid droplets as clouds form, what is released in the atmosphere?",heat,a cold,b humidity,c precipitation,oxygen,hydrogen,electricity
An increase in the number of gas molecules in the same volume container causes what to increase?,pressure,temperature,volume,density,friction,energy,power
What do induction cooktops have under their surface?,electromagnets,radiators,antennas,copper wires,Chambers,clumps,screws
How many types of molecular orbitals can form from the overlap of two atomic s orbitals on adjacent atoms?,two,four,six,eight,three,six,ten
"Salicylic acid is used in the synthesis of acetylsalicylic acid, or more commonly called?",aspirin,qtxzysj,osbarcx,hgjhjg,smelling salts,antacid,Tylenol
"What is the term for groups of cells with a similar appearance and a common function, and describes how cells are organized?",tissue,cell,organ,organelle,muscle,heart,kidney
What creates new seafloor in the rift valleys?,seafloor spreading,plate tectonics,subduction,continental drift,sedimentation,crust spreading,continental drift
The building blocks of proteins are called what?,amino acids,carbohydrates,fats,steroids,boric acids,mutation acids,protein acids
Type 1 diabetes and gigantism are examples of what type of disorder?,endocrine diseases,bacterial disease,cardiovascular disease,neurological disease,cardiac diseases,respiratory diseases,inborn errors of metabolism
"In photosynthesis, what process involving carbon dioxide and oxygen occurs through small, regulated openings called stomata?",gas exchange,carbon fixation,light absorption,water regulation,osmosis,fertilization,transpiration
Which molecules are made of one carbon and four hydrogen atoms?,hydrocarbons,historicars,petrolears,flubberars,fats,proteins,particles
Atoms of different elements have different numbers of what?,protons,with the wrong answers are neutrons,electrons,mass,electrons,neutrons,nucleus
The lancelet lacks what feature that distinguishes vertebrates?,backbone,fins,gills,brain,feet,skin,mouth
What is a reptiles skin covered in to protect them from drying out?,scales,keratin,feathers,fur,bacteria,oil,dye
Gabbro is a dark dense rock that can be found in what?,oceanic crust,meteorite,continental crust,sedimentary rocks,surface crust,mantle,soil
What begins with a diploid cell and ends with four haploid cells?,meiosis,mitosis,binary fission,sexual reproduction,electrolysis,mitosis,urinalysis
"Two smaller isotopes, more neutrons, and heat energy are the products of what type of reaction?",fission,fusion,crystallization,photolysis,Reaction,diffusion,fusion
What percentage of the field is tilled in traditional plowing?,100%,50,75,85,50 %,60 %,75%
Traits controlled by genes on the sex chromosomes are called what?,sex-linked traits,autosomal traits,chromosome-linked traits,dominant traits,male-related traits,gender-linked traits,chromosome-linked traits
What is it called when sound is reflected off an object?,echo,resonance,reverberation,refraction,signal,amplification,reverberation
Acidic hydrogen atoms are those which will be transferred to what?,a base,another acid,a salt,a neutral molecule,water,a cup,another atom
"In an ecosystem, what do you call organisms like lions that capture and kill other animals for food?",predators,grazer,scavenger,decomposer,hunters,alphas,leaders
What type of diseases occur when the immune system attacks normal body cells?,autoimmune,infectious,genetic,neoplastic,gastrointestinal,liver,inflammatory
"Most modern seed plants are angiosperms, which produce seeds in the ovaries of what basic structure?",flowers,leaves,stems,roots,stems,cells,leaves
What is produced by the end of meiosis?,four haploid cells,diploid cells,fertilized eggs,mature gametes,sixteen haploid cells,eight haploid cells,three haploid cells
Farming practices leave some soil exposed and vulnerable to what natural process?,erosion,nutification,sedimentation,sedimentation,migration,rust,sediment
Matter is made up of a mixture of things called what?,elements,compounds,molecules,atoms,segments,compounds,structures
Water seeps into the ground through permeable material and stops when it reaches what?,impermeable rock,air,a magic spell,a filter,Bed Rock,Lava,Coral
"Vertebrate animals have two major body cavities, the dorsal and what is the other?",spinal cavity,cranial cavity,thoracic cavity,abdominal cavity,anterior cavity,proximal cavity,functional cavity
There are 20 different common amino acids needed to make what organic compound?,proteins,dna,carbohydrates,lipids,lipids,nutron,cells
"Sponges exemplify what type of arrangement, where different cells are specialized for different functions, but each cell works alone?",cell-level organization,tissue-level organization,organ-level organization,organism-level organization,independent organization,commensalism,organ-level organization
What type of chemical reactions release energy?,exothermic reactions,endothermic reactions,chemical synthesis reactions,nuclear reactions,sulfuric reactions,endothermic reactions,biochemical reactions
Some types of minerals form balls called what?,nodules,rocks,crystals,pebbles,cancers,microbes,fistulas
"According to the special theory of relativity, no physical object can equal or exceed the speed of what?",light,iain,water,cars,air,energy,weight
What is another word for cellular drinking?,pinocytosis,cellular ingestion,absorption,endocytosis,hypothalamus,cellular hydration,altostratus
What do you call water that flows out of the ground where an aquifer meets the surface?,spring,well,geyser,fountain,oasis,waterfall,stream
What do you call the basic units of the structure and function of living things?,cells,biologies,life processes,organisms,molecules,enzymes,proteins
Which form of dialysis has a patient’s blood pass through a length of tubing that travels through an artificial kidney machine?,hemodialysis,peritoneal dialysis,renal dialysis,hemofiltration,peritoneal dialysis,limbic dialysis,arterial dialysis
"What anatomical structures insulate, protect and provide sensory input?",hair,bones,skin,nerves,teeth,fingernails,salivary glands
"Known for its beautiful rings, what is the second largest planet in the solar system?",saturn,jupiter,mars,earth,Mars,jupiter,Venus
What kind of waves are used in radar guns?,microwaves,gamma rays,radio waves,infrared waves,x-rays,WIFI,radio waves
On what lobe of the liver is the gallbladder near?,right lobe,left lobe,posterior aspect of the liver,anterior aspect of the liver,left lobe,central lobe,internal lobe
What are the two types of digestive systems invertebrates may have?,complete and incomplete,didestic,endistic,singlesystem,complete and simple,complete and fluid,gastric and monogastric
What does the gradient of bicoid protein determine?,anterior-posterior axis,dorso-ventral axis,left-right axis,dorsal-ventral axis,shallow - posterior axis,east-west axis,vertical-horizontal plane
What term is used to describe a cancer that has spread?,metastasized,localized,benign,irrelevant,destabilized,galvanized,ostracized
"What is the most abundant of all vertebrate classes, and the most recent to evolve?",birds,reptiles,amphibians,mammals,bony fishes,reptiles,mammals
How many calories of energy does one gram of protein provide?,4,10,20,30,2,1,5
What is the cure of cancer known as?,remission,surgery,chemotherapy,radiation therapy,metabolism,rejuvenation,regeneration
What is the outer layer of the exoskeleton called?,cuticle,cutix,exoskin,epidermis,bristle,epidermis,epithelium
In what stage of their life cycle do insects begin developing their wings?,pupa,egg,larva,adult,crystalline,larva,pupal
The speed of sound depends on what?,medium,temperature,frequency,distance,light,volume,temperature
"While elements are represented by chemical symbols, chemical formulas represent what?",compounds,elements,chemical symbols,molecules,extracts,pollutants,solutions
What is a form of cell division in prokaryotic organisms that produces identical offspring?,binary fission,mitosis,meiosis,budding,nuclear fission,germination,mitosis
What system consists of organs that break down food and absorb nutrients such as glucose?,digestive system,circulatory system,respiratory system,excretory system,cardiovascular system,physical system,skeletal system
What is the transition from solid to vapor is called?,sublimation,evaporation,condensation,fusion,vaporization,deposition,ionization
"In contrast with cnidarians, nematodes show a tubular morphology and circular cross-section. these animals are pseudocoelomates and show the presence of a complete digestive system with a distinct mouth and this?",anus,mouth,digestive system,teeth,mucus,hairs,stomach
The amount of heat required to raise a single mass unit of a substance by a single temperature unit is known as what?,specific heat,multiplication,quantity,amount,temperature variation,specific gravity,solitary heat
What is the most important source of electromagnetic radiation on earth?,the sun,intravascular fluids,cellular respiration,gravitational pull,the moon,volcanos,the oceans
What kind of drugs are formulated to help deal with hiv and herpes as well as influenza and two types of hepatitis?,antiviral drugs,bacteriostatic drugs,vaccines,antibiotics,antibacterial drugs,steroid drugs,herbal remedies
"Trees, which can be planted and harvested, are an example of what type of resource?",renewable,non-renewable,infinite,disposable,electric,fossil,geothermal
"After a supernova, what part of a star remains?",core,the stars surface,the stars atmosphere,the stars crust,large,outer,superficial
What is essential for population of all species to expand greatly?,abundant resources,genetic diversity,selective pressure,symbiotic relationships,foliage resources,chemical resources,liquid resources
What is usually the most visible part of the flower?,petals,sepals,stem,center of the flower,cells,seeds,roots
What occurs when competing species evolve different adaptations?,specialization,symbiosis,speciation,extinction,evolution,urbanization,Rate Adaption
Haversian canals contain blood vessels and what else?,nerve fibers,blood vessels,spongy tissue,compact bone tissue,muscle fibers,synovial fluid,collagen fibers
What type of telescopes collect and focus radio waves from distant objects?,radio telescopes,optical telescopes,x-ray telescopes,gamma-ray telescopes,reflecting telescopes,refracting telescopes,space telescopes
Cells have multiple repair mechanisms to fix mutations in what?,dna,альтернаatively,rna,proteins,amino acid chains,organ systems,RNA
What are different versions of a gene known as?,alleles,gensequences,genetypes,germplasm,modes,ion,genomes
All chemical reactions involve both reactants and what else?,products,reactants,catalysts,activators,consumers,catalysts,energy
Potassium hydroxide in soap is an example of what?,base,つotic acid,lactic acid,antacid,enzyme,catalyst,acid
Photosynthesis is an endothermic reaction that gets its energy from what?,light,food,water,heat,wind,electricity,air
Paramecium possess tiny hair-like cilia that help them do what?,move,breathe,photosynthesize,communicate,fight,look,breed
What is a complex machine that burns fuel to produce thermal energy and then uses the thermal energy to do work?,combustion engine,steam engine,heat pump,generator,vapor engine,convection oven,battery
"In both eukaryotes and prokaryotes, ribosomes are the non-membrane bound organelles where what main product of the cell is made?",proteins,nuclei,mitochondria,chloroplasts,lipids,protons,sugars
Biological features from a common evolutionary origin are known as what?,homologous,genetic,analogous,evolutionary,monologous,heterologous,analogous
Salts that are neither acidic nor basic do not affect what property of the solution when dissolved in water?,ph,tastes,colors,viscosity,homeostasis,saturation,density
What protects the pollen of seed plants and spores of seedless plants?,sporopollenin,bronze,pigment,cell membrane,cystosol,cocklebur,chlorophyll
Cells that have a nucleus and other organelles which are membrane-bound are generally called what kinds of cells?,eukaryotic,prokaryotic,archaebacterial,viral,Monocyte,Megakaryocyte,Erythrocyte
What is first stage of cellular respiration?,glycolsis,ferroflation,anaerobic metabolism,the electron transport chain,electrolysis,hydrolisis,metabolism
What are groups of stars called that are smaller than a galaxy?,star clusters,stud,twinkle,constellation,Milky Way,nebuli,constellations
"Expansion of a gas into a vacuum is irreversible because the external pressure is measurably less than the internal pressure of the gas, and no states of what exist?",equilibrium,stability,dissipation,reversibility,balance,liquid,composition
"One important phenomenon related to the relative strength of cohesive and adhesive forces is capillary action—the tendency of a fluid to be raised or suppressed in a narrow tube, or called this?",capillary tube,ribbon,channel,cup,melting tube,cohesive tube,pressure tube
What kind of reproduction generates most of the genetic variation that makes evolutionary adaptation possible?,sexual reproduction,asexual reproduction,budding reproduction,created reproduction,cloning,asexual reproduction,synthetic reproduction
"Can nematodes be a parasite of plants, animals, or both?",both,plants only,animals only,neither plants nor animals,neither,animals,plants
What kind of weather can you expect if a center of low pressure is moving your way?,stormy,clear skies,sunny weather,calm conditions,rain,rough,sunny
Icy objects that have very elliptical orbits around the sun are called?,comets,planets,asteroids,meteors,meteors,asteroids,craters
What geologic era is also known as the age of mammals?,cenozoic era,paleozoic era,mesozoic era,jurassic period,mesozoic era,paleozoic era,cretaceous period
The similarities and differences between the genomes confirm patterns of what?,evolution,pattern of geography,pattern of culture,pattern of climate,phylum,fossils,variation
On how many of the continents do birds live and breed?,seven,four,five,six,three,four,eight
The hydrogen is oxidized because it undergoes a partial loss of what?,electrons,protons,neutrons,nucleons,density,protons,ions
"What is land with permafrost, no trees, and small hardy plants?",tundra,desert,swamp,forest,subtropics,taiga,desert
Viruses replicate only in where?,host cells,animal cells,bacteria,fungi,traitor cells,compromised cells,weak cells
Matter undergoing chemical reactions and physical changes can release or absorb heat. a change that releases heat is called what?,exothermic process,absorption,crystallization,evaporation,magnetic process,oxidized process,biochemical process
What hormone secreted by the pineal gland controls sleep-wake cycles and several other processes?,melatonin,serotonin,adrenaline,insulin,testosterone,t3,estrogen
What is defined as the ability to do work?,energy,heat,fuel,work,fuel,heating,momentum
What two types of tissue compose most of the non-pregnant and non-lactating female breast?,adipose and collagenous,muscle,nerve,blood vessel,intestine and collagenous,silicone and collagenous,scar and collagenous
"Control of the body can be somatic or autonomic, offering one way to divide what organ system by function?",nervous system,circulatory system,muscular system,digestive system,cardiovascular system,circulatory system,central system
What is the female reproductive structure of a flower?,the pistil,sepals,stamens,carpels,the stamen,the seed,the flower
Cysteine is a type of what fundamental building block of protein?,amino acid,carbohydrate,vitamin,fat,atoms acid,proteins acid,salts acid
"The leaves of what plant genus are the source of the compound ephedrine, which is used in medicine as a potent decongestant and is similar to amphetamines?",ephedra,opening,lilac,daisy,Stimulant,dietary,additive
The simplest organic compounds are known as what?,hydrocarbons,carbohydrates,proteins,vitamins,amino acids,carbohydrates,nucleotides
"Who developed a classification system that divided living things into several groups that we still use today, including mammals, insects, and reptiles?",aristotle,linnaeus,darwin,galileo,jung,darwin,harrold
"All biochemical molecules have oxygen, carbon, and what other element?",hydrogen,nitrogen,phosphorus,sulfur,helium,nitrogen,calcium
What is a structure that is composed of one or more types of tissues?,organ,sheet,garden,pizza,system,muscle,node
"If the buoyant force is greater than the force of gravity acting on a ship, what will happen to the ship?",it will float,remain submerged,sink,float in mid-air,it will sink,it will bobble,it will explode
What are different types of tissues organized into functional units called?,organs,cell,tissue,organ system,tendons,arteries,veins
"Practitioners of what thought all matter was composed of different proportions of four basic elements, and that if you changed the proportions of these elements, you could change the substance itself?",alchemy,chemistry,physics,biology,chemistry,biology,phrenology
What are atoms of the same element that differ in their numbers of neutrons called?,isotopes,cells,molecules,tissues,reactions,organisms,opposites
What is added to a measured portion of a more concentrated stock solution to achieve a particular concentration?,solvent,solid,gas,water,water,yeast,pigment
What do humans and bats have physically in common?,body hair,wings,fur,four legs,wing size,gland hair,body oder
"Because optics fibers are thin, entering light may strike the inside surface at greater than the critical angle, requiring attention to what?",refractive index,material,angles,light pipes,reflective point,electromagnetic index,wavelength
What is a vector quantity with the same direction as the force called?,impulse,force,momentum,energy,accelerated,inverted,simple
"Club mosses, horsetails, ferns, and whisk ferns are examples of what type of plants?",seedless vascular plants,seed plants,flowering plants,gymnosperms,cycads,gymnosperms,angiosperms
What do seeds have that spores do not?,a supply of stored food,air pockets,water,proteins,DNA,pollenators,chlorophyll
A vector is an organism that carries what disease-causing microorganisms from one person or animal to another?,pathogen,person,animal,bug,microbe,microbe,genome
What once most common bird in north america became extinct in the 1800s?,the passenger piegon,speaking,eagle the passenger pigeon was once the most common bird in north america but went extinct in the 1800s as a result of human actions such as overhunting,habitat destruction,the dodo,the homing piegon,the rock penguin
What is the process called where nitrogen is repeatedly recycled through the biosphere?,nitrogen cycle,carbohydrate cycle,oxygen cycle,protein cycle,ammonia cycle,water cycle,nitrogen path
What does pepsin help break down into amino acids?,proteins,carbohydrates,fats,vitamins,glucose,carbohydrates,fats
What are the most successful phylum of plants?,angiosperms,fronds,rhizomes,gymnosperms,spores,gymnosperms,ferns
The muscular layer is much thicker in which ventricle of the heart?,left,right,the coronary sinus,the pulmonary trunk,middle,upper,right
"In many places, small hills rise above the ocean floor. these hills are undersea volcanoes, called what?",seamounts,mountains,plateaus,islands,reefs,corals,ridges
"Ants, termites, bees, and wasps live in what type of social structure that may include millions of individual insects?",colony,individual,group,society,family,habitat,community
"Schrödinger’s approach uses three quantum numbers (n, l, and ml) to specify any of what type of function, associated with a particular energy?",wave function,wave function,energy,allowed values,shift function,green function,rush function
"What is the term for the ability of an atom to emit, or give off, charged particles and energy from its nucleus?",radioactivity,radiation,stabililty,emission,magnetism,electrical attraction,conductivity
What type of fluid cushions the fetus and helps protect it from injury?,amniotic,mantle,blood,umbrella,plasmid,epithelial,aqueous
How can you prevent diseases such as whooping cough and flu?,preventive vaccinations,antibiotics,exercise,sanitizing surfaces,nutrition,exercise,vacuuming
Why do snakes have venomous bites?,to kill prey,occupy a territory,protect themselves from predators,store food for later consumption,to clean themselves,to kill rival snakes,to scare humans
Chelicerae in spiders are often modified into fangs that perform what function?,inject venom,physically restrain prey,digest prey externally,transmit diseases,courtship display,chewing,tearing flesh
What results from uncontrolled cell division?,cancers,abnormal growth,erroneous organelle replication,defective dna replication,high blood pressure,obesity,diabetes
Where do angiosperms form seeds?,ovaries,leaves,branches,roots,stamen,testes,cones
"All of the populations that live in the same area make up what type of group, which includes populations of different organisms?",community,ourselves,species,ecosystem,environment,colony,hive
The medium moves back and forth in the same direction as the wave in what type of wave?,longitudinal wave,transverse wave,circular wave,standing wave,variable wave,kinetic wave,latitudinal wave
A ramp is a type of simple machine called what?,inclined plane,wheel,pulley,screw,extension plane,allow plane,rough plane
"Under the right conditions, what energy source can be used to eject electrons from a solid material?",light,heat,electrical current,chemical reactions,force,weight,gravity
The type of bond that forms between molecules is called what?,hydrogen bond,leo bond,oxygen bond,van der waals bond,fission bond,covalent bond,helium bond
"Radiation, chemicals, and infectious agents are examples of what?",mutagens,jeans,catsup,unicorns,inhibitors,catalysts,pathogens
What is the name for a tool commonly used by molecular biologists to place genetic material into cells?,a viral vector,a bacteriophage,gene gun,a plasmid,a embryonic vector,an rna vector,a dna vector
What is the study of how forces affect the motion of objects?,dynamics,kinematics,statics,thermodynamics,behaviors,acceleration,kinematics
Compounds containing which element are the basis of all known life?,carbon,hydrogen,oxygen,nitrogen,oxygen,helium,hydrogen
What type of rocks form when an existing rock is changed by heat or pressure?,metamorphic,igneous,sedimentary,volcanic,Molten,igneous,sediments
What does jupiter reflect a lot of due to its size?,sunlight,water,gravity,heat,carbon,molecules,moisture
Which chemist developed a process to remove carbon and dust particles in smoke?,frederick cottrell,albert einstein,marie curie,leonardo da vinci,james carpenter,roger granger,harold black
What are gases called that absorb heat in the atmosphere?,greenhouse gases,ice,sulfur dioxide,ozone,microwave gases,ozone gases,carbonate gases
What are the specialized cells that sponges have?,collar cells,choanocytes,stereocytes,epithelial cells,tune cells,magnet cells,blood cells
What shape are the muscles that control the anus?,circular,rectangular,triangular,oval,elliptical,irregular,triangular
What are the small molecules or proteins produced by bacteria that regulate gene expression?,autoinducers,hormones,enzymes,antibodies,fluxes,protazoas,sporozoans
Channel proteins form what in the membrane?,pores,steps,pathways,barriers,walls,fibers,atoms
The sun gives off energy in tiny packets called what?,photons,ions,electrons,protons,ions,electrons,atoms
What is a rock that contains important minerals called?,ore,gemstone,mineral deposit,rock sample,carbonic,steel,copper
A high metabolic rate and hair are ways mammals generate and conserve what?,heat,food,energy,temperature,resources,energy,water
"What is made of molecules of many different gases, and is something we usually can’t see, taste, or smell; we can only feel it when it moves?",air,water,plasma,smoke,water,light,sound
What navigation technology works on the same principle as echolocation?,sonar,radio waves,gps,infrared,radar,GPS,topography
A reaction producing heat is what type of reaction?,chemical,electrical,biological,thermal,chemistry,carbon,physical
What evolutionary process has adapted protonephridia to different tasks in different environments?,natural selection,genetic drift,genetic engineering,geological forces,natural reproduction,natural variety,natural change
Some bacteria cannot be cultured because they are obligate intracellular parasites and cannot be grown outside what?,host cell,glucose,nutrients,antibiotics,sponsor cell,anchor cell,brain cell
What are living things that produce food for themselves and other organisms called?,producers,consumes,decomposers,herbivores,growers,harvesters,refiners
The process in which a gas changes to a liquid is called what?,condensation,literation,assimilation,evaporation,diffusion,fermentation,vaporing
What are solids with high melting and boiling points?,ionic compounds,empires,answer1,answer2,magnetic compounds,superheated compounds,metal alloys
What kind of cells are polyribosomes found in?,bacterial and eukaryotic,archaeological,fungal,prokaryotic,chloroplasts and nuclei,Prokaryotic and eukaryotic,yeast and prokaryotic
Which gland is controlled by a negative feedback loop that includes the hypothalamus and pituitary gland?,thyroid,adrenal,pancreas,parathyroid,stomach,adrenal,pituitary
What term means the set of processes by which metals are extracted from their ores and converted to more useful forms?,metallurgy,geology,mining,refining,metamorphisis,introversion,ceramics
What blood-carrying structures contain one-way valves that contribute to the return of blood to the heart?,veins,щє,ичні,яinn occluded veins,glands,clots,brains
What type of components of the biosphere do chemical elements and water pass through during ecosystem recycle?,biotic and abiotic,atmosphere,geochemical,physical,photic and aphotic,tropic and subtropic,water and air
"Traditionally, what preventative measure used weakened or inactive forms of microorganisms or viruses to stimulate the immune system?",vaccine,antibiotics,hormones,penicillin,infection,assimilation,pathogen
What is the measurement of something along it's greatest dimension called?,length,width,height,girth,stretch,stretch,height
What term describes the process of vesicles fusing with the plasma membrane and releasing their contents to the outside of the cell?,exocytosis,endocytosis,phagocytosis,pinocytosis,biosynthesis,plasmosis,endocytosis
"A sealed, vacuum-insulated reaction flask approximates what condition, in which neither matter nor heat can be exchanged between system and surroundings?",isolated system,open system,closed system,closed system,shared system,changing system,sure system
Collateral ganglia controls organs in which cavity in the body?,abdominal,thoracic,cranial,cardiac,cranial,pelvic,cardiac
A bee will sometimes do a dance to tell other bees in the hive where to find what?,food,water,shelter,nesting material,enemies,water,honey
"The lens focuses light on the retina , which covers the back of the inside of the eye. the retina has light-sensing photoreceptor cells called?",rods and cones,bulbs,sensors,filters,cones and tubes,holes and cones,tubes and rods
"Temperature, water, soil, and air are examples of nonliving factors of an ecosystem, also termed what?",abiotic factors,small living things,biotic components,biotic factors,nucleic factors,conditional factors,diverse factors
Sensory nerves carry nerve impulses from sensory receptors to what system?,central nervous, parasympathetic, sympathetic, peripheral,MUSCULAR SYSTEM,ENDOCRINE SYSTEM,IRCULATORY SYSTEM
Which kind of muscle regulates air flow in lungs?,smooth,cartilage,bone,cardiac,vascular,striated,alveoli
What type of bonds are formed by the side-to-side overlap of p orbitals?,pi bonds,sigma bonds,end-to-end overlap,single bonds,sigma bonds,omega bonds,theta bonds
"The majority of animals belong to what category, characterized by the lack of a backbone?",invertebrate,vertebrate,plant,bacteria,vertebrate,nematode,arthropod
The temperature at which a substance melts is called its what point?,melting,freezing,boiling,solidification,boiling,change,freezing
"Oogenesis, which is gametogenesis in females, begins with what type of ste cells?",ovarian,testicular,germ,fetal,secretion,digestive,uterian
Humans are among the most versatile of mammals with what type of diet?,omnivore,herbivore,carnivore,vegetarian,carnivore,herbivore,vegetarian
Solute potential is also called osmotic potential because solutes affect the direction of what?,osmosis,the electrochemical gradient,water pressure,solubility,permeability,electrolysis,electrolysis
"Newton’s second law of what is more than a definition; it is a relationship among acceleration, force, and mass?",motion,acceleration,force,mass,gravity,change,interference
What is the physical transformation of an insect moving through stages of life?,metamorphosis,growth,development,transformation,Transition,Growth and Development,parthenogenesis
"When equal amounts of a strong acid such as hydrochloric acid are mixed with a strong base such as sodium hydroxide, the result is what kind of solution?",a neutral one,alkali solution,acidic solution,basic solution,a economical one,a lateral one,a thermodynamic one
"Fungi, such as black bread mold (rhizopus nigricans), have haploid-dominant what?",life cycles,life cycles,stages,phases,birth cycles,gene pools,mutations
The electrode at which oxidation occurs is called?,the anode, the cathode, the electrolyte, the half-cell,diode,cathode,calomel
There are about 6200 known species of what?,amphibians,reptiles,fish,mammals,primates,mammals,reptiles
What is required to move or change matter from one state to another?,energy,salt,water,oxygen,food,gravity,evolution
A food web can be broken up into what further subdivision that usually has a few links in it?,food chain,food pyramid,food network,food cycle,food pyramid,oxygen chain,water chain
What contains positive protons and neutral neutrons?,nucleus,electrons,protons,atom,electrons,ions,epidermis
"Horny ridges on the jaws serve the same function as what, for turtles?",teeth,spines,claws,fangs,skin,taste buds,hairs
Natural gas is the predominately made up of?,methane,ether,propane,butane,hydrogen,carbon,sulfur
"Which  organs control the amount of water, ions, and other substances in the blood by excreting more or less of them in urine?",kidneys,kidney stones,liver,pancreas,lungs,tongue,ears
What unit of measurement is defined to be the number of atoms in 12g of carbon-12?,one mole,12 grams,12 atoms,12 amu,one quark,one joule,one ohm
What involves sensing and focusing light from people and objects?,vision,safety,hearing aid technology,conjuring,echolocation,sensory perception,projection
"What is a therian mammal in which the embryo is born at an early, immature stage?",a marsupial,about,insectivore,egg-laying mammal,rodent,bat,carnivore
What are fungi which feed on living cells called?,parasitic,deadly,saprophytic,benign,static,predatory,symbiotic
What rock group offers the richest source of fossils?,sedimentary, igneous, metamorphic, pyroclastic,metamorphic,igneous,geode
What is the diffusion of water through a semipermeable membrane down its concentration gradient,osmosis, dialysis, filtration, absortption,nutrients,mirrors,Permable
Isotopes are named for their number of protons plus what?,neutrons, protons, electrons, energy,isomers,electrons,nuclei
Movements in the mantle cause the plates to move over time in a process called what?,continental drift,glacial drift,seafloor spreading,tectonic plate activity,continental expansion,continental shift,boundary drift
"In phyisics, what is considered to be the rotational version of force?",torque,thrust,leverage,momentum,work,energy,pressure
Skeletal muscles are attached to the skeleton by tough connective tissues called what?,tendons,ligaments,cartilage,bones,fibers,veins,cords
What is the ability to see called?,vision,sight,perception,recognition,thought,smell,hearing
Which two major innovations allowed seed plants to reproduce in the absence of water?,seed and pollen,spider webs,butterfly wings,amphibian eggs,bee and pollen,root and pollen,salt and pollen
What anatomical feature is shared by all chordates?,notochord,closely-spaced eyes,gills,breathing organs,isochord,botachord,laxchord
"With wavelengths from 400-700 nm, what kind of light represents only a very small portion of the spectrum?",visible light,radio waves,x-rays,gamma rays,invisible light,sunlight,ultraviolet light
"In humans, the only haploid cells are what reproductive cells?",sperm and egg,blood cells,muscle cells,bone cells,dna and egg,sperm and dna,uteral and sperm
What sort of walls are helpful for keeping a slope stable?,retaining walls,concrete walls,stone partitions,soil barriers,relocating walls,diverting walls,managing walls
What is the most direct way of recovering a metal from its ores?,electrolysis,vaporization,magnetization,precipitation,drilling,molecules,osmosis
What is the term used to describe the minerals and vitamins that are not needed for providing the body with energy but are still essential for good health?,micronutrients,macronutrients,mesonutrients,macrosupplements,salts,pigments,non-energetic nutrients
What type of map reveals the shape of a landscape?,topographic,political,weather,population,meteorological,geologic,geographic
Does atmospheric pressure increase or decrease as the altitude increases?,decreases,increase,stays the same,stays the same,increase,stays the same,depends on other factors
"What term always refers to acceleration in the direction opposite to the direction of the velocity and always reduces speed, unlike negative acceleration?",deceleration,acceleration,negative acceleration,reversal of velocity,progression,extraction,calibration
What do you call a quantity of motion that has both size as well as direction?,vector,35-dimensional,magnitude,heading,wave,vibration,speed
What process done by bacteria makes them important producers in aquatic ecosystems?,photosynthesis,respiration,fermentation,nitrogen fixation,maturation,infection,reproduction
What action do particles of the same charge do to each other?,repel,attract,have no effect,cancel each other out,propagate,destroy,pull
What is the the process by which remains or traces of living things become fossils called?,fossilization,conclude,devitalize,petrify,extirpation,gentrification,fasciculation
Light is a form of what kind of energy?,electromagnetic energy,sound energy,thermal energy,mechanical energy,magnetic energy,static energy,gravitational energy
"When compared to anaerobic respiration, what does aerobic respiration release more of?",energy,atp molecules,carbon dioxide,pyruvate,heat,carbon dioxide,pressure
"As the telencephalon enlarges and grows into the cranial cavity, it is limited by the space within what bone structure?",skull,bone,brain,cerebrum,skeleton,spine,chest
What is a relationship where one species benefits and the other is unaffected?,commensalism,toxoplasmosis,mutualism,parasitism,pollenation,mutualism,parasitism
What term is used to describe  is the spontaneous emission of particles and radiation from atomic nuclei?,radioactivity,gentropy,chemicalreactivity,ionization,intensity,vibration,microscopic
What do metals start out as?,ore,rock,minerals,refined metal,Metal molecules,aluminum,nickel
What is the si unit for weight?,newton (n),kilogram,gram,pound,kilograms (kg),meters (m),pounds (lbs)
